months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39
196,39,143972,1992-08-02,KA,500/1000,166000,122485.59,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,4731000,-2265900,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,UP,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,5013200,501320,501320,4010560,Nissan,Pathfinder,2014,N,
460,62,183430,2002-06-25,KA,250/500,83000,98600.68000000001,332000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,DL,Columbus,5380 Pine St,20,3,NO,1,0,?,3914280,0,434920,3479360,Suburu,Impreza,2011,N,
217,41,431876,2005-11-27,TS,500/1000,166000,72637.45,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,3876100,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,TN,Arlington,8957 Weaver Drive,15,3,?,1,2,?,3140720,0,392590,2748130,Accura,RSX,1996,N,
370,55,285496,1994-05-27,TS,100/300,166000,80690.94,0,443920,MALE,High School,prof-specialty,paintball,other-relative,6034100,-5660600,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,TN,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,5936160,1484040,494680,3957440,Suburu,Forrestor,2000,Y,
413,55,115399,1991-02-08,KA,100/300,166000,105309.56999999999,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-2573000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WB,Northbend,5667 4th Drive,15,1,?,2,2,?,8147280,678940,1357880,6110460,Dodge,RAM,2011,Y,
237,40,736882,1996-02-02,KA,100/300,83000,73314.73,0,434733,MALE,College,craft-repair,kayaking,husband,0,-4440500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,UP,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,6464040,587640,1175280,4701120,Ford,Escape,2005,N,
8,35,699044,2013-12-05,MH,100/300,166000,105154.36,0,613982,MALE,Masters,sales,polo,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,MH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,5934500,1369500,913000,3652000,Ford,Escape,2006,Y,
257,43,863236,1990-09-20,KA,100/300,166000,109734.29999999999,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-2423600,2015-01-28,Parked Car,?,Minor Damage,Police,RJ,Arlington,2533 Elm St,4,1,YES,1,3,YES,748660,136120,68060,544480,Toyota,Camry,2005,N,
202,34,608513,2002-07-18,KA,100/300,41500,70389.81,249000000,607730,MALE,JD,exec-managerial,chess,not-in-family,2573000,-2506600,2015-01-07,Vehicle Theft,?,Minor Damage,,UP,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,?,474760,86320,43160,345280,Suburu,Forrestor,2003,Y,
224,40,914088,1990-02-08,MH,100/300,166000,107211.1,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-4614800,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,TN,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,5796720,644080,1288160,3864480,Dodge,Neon,2009,N,
241,45,596785,2014-03-04,TS,500/1000,166000,91673.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,TN,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,7606950,1170300,1170300,5266350,Accura,TL,2011,N,
64,25,908616,2000-02-18,TS,250/500,83000,79195.28,0,473328,MALE,Masters,prof-specialty,video-games,husband,4415600,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,TN,Columbus,4687 5th Drive,22,4,NO,0,0,?,6274800,1045800,1045800,4183200,Toyota,Corolla,2005,N,
166,37,666333,2008-06-19,TS,100/300,166000,110994.23999999999,664000000,610393,MALE,JD,craft-repair,reading,husband,2282500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WB,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,5572620,619180,619180,4334260,Ford,F150,2006,Y,
155,35,336614,2003-08-01,TS,500/1000,83000,90332.21999999999,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,6731300,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,DL,Arlington,6092 5th Ave,16,3,YES,2,3,NO,2472570,274730,274730,1923110,BMW,3 Series,2008,N,
114,30,584859,1992-04-04,TS,100/300,83000,129338.06999999999,0,472248,MALE,High School,farming-fishing,video-games,wife,4266200,-5312000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,DL,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,6400130,1163660,1163660,4072810,Suburu,Impreza,2015,N,
149,37,990493,1991-01-13,TS,500/1000,41500,117501.44,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WB,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,5378400,896400,448200,4033800,Audi,A3,1999,N,
147,33,129872,2010-08-08,MH,100/300,83000,110734.45000000001,498000000,479224,MALE,High School,craft-repair,reading,not-in-family,4423900,-4083600,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WB,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,4407300,881460,440730,3085110,Mercedes,C300,1995,Y,
62,28,200152,2003-03-09,TS,100/300,83000,82041.35,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,DL,Northbrook,4981 Weaver St,3,1,?,1,1,YES,4996600,499660,499660,3997280,Suburu,Forrestor,2004,Y,
289,49,933293,1993-02-03,TS,500/1000,166000,101465.84,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,?,Minor Damage,,WB,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,442390,102090,68060,272240,Suburu,Legacy,2001,N,
431,54,485664,2002-11-25,KA,500/1000,166000,95910.65,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,5453100,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,DL,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,5170900,1034180,517090,3619630,Jeep,Wrangler,2007,N,
199,37,982871,1997-07-27,KA,250/500,41500,104752.64,0,474615,MALE,JD,tech-support,video-games,wife,4025500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,GJ,Columbus,3422 Flute St,4,1,?,0,3,NO,4994110,908020,908020,3178070,Nissan,Pathfinder,2011,Y,
79,26,206213,1995-05-08,TS,100/300,41500,120484.45999999999,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-4623100,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WB,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,3320000,664000,332000,2324000,BMW,M5,2010,N,
116,34,616337,2012-08-30,KA,250/500,41500,144225.78,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-2000300,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WB,Northbrook,5719 2nd Lane,1,1,?,1,1,?,8057640,1342940,1342940,5371760,BMW,X5,2001,Y,
37,23,448961,2006-04-30,TS,500/1000,41500,122502.19,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-5594200,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,TN,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,4287780,476420,476420,3334940,Dodge,RAM,2010,N,
106,30,790442,2003-04-13,MH,250/500,41500,44668.10999999999,0,433782,FEMALE,PhD,transport-moving,reading,own-child,4125100,-4996600,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,GJ,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,4242960,471440,471440,3300080,Mercedes,E400,2005,N,
269,44,108844,2007-12-05,TS,100/300,166000,89729.64,0,468104,MALE,JD,priv-house-serv,reading,unmarried,3021200,-2382100,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,TN,Springfield,1699 Oak Drive,14,1,YES,0,2,?,4681200,936240,936240,2808720,Toyota,Highlander,2014,N,
265,40,430029,2006-08-21,TS,250/500,83000,120717.69,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,DL,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,4574960,571870,0,4003090,Accura,MDX,2002,N,
163,33,529112,1990-01-08,KA,100/300,41500,102959.01000000001,0,472573,FEMALE,Associate,other-service,polo,husband,2929900,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,GJ,Northbend,7476 4th St,11,3,YES,1,1,?,6400130,0,1163660,5236470,Honda,Civic,2014,N,
355,47,939631,1990-03-18,MH,500/1000,166000,105717.1,332000000,433473,MALE,College,other-service,kayaking,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WB,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,5212400,521240,521240,4169920,Audi,A3,2003,Y,
175,34,866931,2008-01-07,KA,500/1000,83000,93281.20999999999,664000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,DL,Arlington,6619 Flute Ave,5,1,?,2,0,YES,605070,67230,67230,470610,Volkswagen,Passat,1995,N,
192,35,582011,1997-03-10,TS,100/300,83000,103408.87000000001,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-3344900,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WB,Springfield,6011 Britain St,19,1,NO,0,0,?,6357800,1271560,635780,4450460,Mercedes,C300,2000,N,
430,59,691189,2004-01-10,MH,250/500,166000,110109.45999999999,581000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,DL,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,6789400,1357880,678940,4752580,Nissan,Pathfinder,1998,N,
91,27,537546,1994-08-20,TS,100/300,166000,89127.89,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,,DL,Arlington,2280 4th Ave,4,1,?,1,2,?,602580,109560,54780,438240,BMW,M5,2008,N,
217,39,394975,2002-06-02,KA,100/300,83000,127033.16,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,,WB,Northbend,2644 Elm Drive,8,1,?,2,1,YES,356900,35690,35690,285520,Toyota,Corolla,2000,N,
223,40,729634,1994-04-28,KA,100/300,41500,99717.03000000001,0,437818,FEMALE,JD,priv-house-serv,movies,husband,7337200,-3859500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,GJ,Columbus,7466 MLK Ridge,7,3,YES,1,0,?,5852330,1064060,1064060,3724210,Suburu,Forrestor,1999,N,
195,39,282195,2014-08-17,MH,250/500,83000,115666.31,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,3950800,-3286800,2015-02-27,Parked Car,?,Minor Damage,Police,UP,Northbend,5821 2nd St,5,1,NO,0,1,YES,219120,39840,39840,139440,Ford,F150,2009,N,
22,26,420810,2007-08-11,MH,100/300,83000,105955.31,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,5934500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,DL,Arlington,6723 Best Drive,3,1,YES,1,2,NO,6548700,1309740,654870,4584090,Chevrolet,Silverado,1995,N,
439,56,524836,2008-11-20,KA,250/500,41500,89846.67,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,2996300,-4565000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,TN,Columbus,4866 4th Hwy,12,3,?,2,3,?,4683690,0,520410,4163280,Honda,CRV,2014,N,
94,32,307195,1995-10-18,KA,500/1000,83000,117423.42,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,2015-02-22,Parked Car,?,Minor Damage,,UP,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,199200,24900,24900,149400,Chevrolet,Silverado,2014,N,
11,39,623648,1993-05-19,TS,250/500,166000,122014.98,0,431683,MALE,PhD,other-service,yachting,husband,4697800,-3801400,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WB,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,5460570,606730,606730,4247110,Saab,93,2007,N,
151,36,485372,2005-02-26,MH,250/500,166000,72262.29,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,7868400,-4855500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,UP,Hillsdale,2299 1st St,12,3,NO,1,1,NO,5222360,949520,474760,3798080,Ford,Escape,2000,N,
154,34,598554,1990-02-14,KA,100/300,41500,66004.09,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,3062700,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,DL,Springfield,6618 Cherokee Drive,15,3,YES,2,1,?,5766840,1281520,0,4485320,Nissan,Maxima,2014,Y,
245,44,303987,1993-09-30,TS,500/1000,83000,96960.6,0,452787,MALE,JD,handlers-cleaners,basketball,husband,5735300,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,MH,Springfield,7459 Flute St,23,3,NO,0,3,NO,3675240,612540,306270,2756430,Honda,Accord,1997,N,
119,32,343161,2014-06-10,TS,500/1000,83000,82461.33,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-4108500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WB,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,4672900,467290,934580,3271030,BMW,M5,2011,N,
215,42,519312,2008-10-28,MH,500/1000,41500,153451.22999999998,0,435489,MALE,JD,transport-moving,video-games,own-child,0,-4067000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WB,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,5687160,947860,473930,4265370,Suburu,Legacy,2003,Y,
295,42,132902,2007-04-24,MH,250/500,166000,136263.59,415000000,450149,MALE,PhD,sales,chess,not-in-family,5179200,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,UP,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,4907790,545310,545310,3817170,Ford,Escape,2006,Y,
254,39,332867,1993-12-13,KA,100/300,41500,113118.20999999999,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,2963100,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,DL,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,6832560,1138760,569380,5124420,Dodge,Neon,1995,Y,
107,31,356590,2011-08-17,KA,250/500,41500,102855.26000000001,581000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,3602200,-7569600,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,TN,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,7445100,1145400,1145400,5154300,Audi,A5,2009,Y,
478,64,346002,1990-08-20,MH,250/500,41500,69306.66,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,4946800,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WB,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,2816190,0,312910,2503280,BMW,X6,1998,N,
128,30,500533,1994-02-11,MH,100/300,83000,88090.39,0,478575,MALE,MD,machine-op-inspct,movies,own-child,3593900,-5494600,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WB,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,5687990,1034180,517090,4136720,Audi,A5,1997,N,
338,49,348209,1994-02-22,KA,500/1000,83000,106163.64,0,449718,MALE,MD,other-service,kayaking,own-child,0,-4274500,2015-02-27,Parked Car,?,Minor Damage,,GJ,Riverwood,7721 Washington Ridge,13,1,NO,0,1,?,356900,71380,71380,214140,Ford,F150,2004,N,
271,42,486676,2011-08-15,MH,100/300,41500,91755.67,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,4664600,-4150000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,TN,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,5669730,1030860,515430,4123440,Audi,A3,2003,Y,
222,41,260845,1998-11-11,MH,100/300,166000,87608.98999999999,0,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family,3137400,-4174900,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WB,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,5087070,565230,565230,3956610,Honda,Civic,1995,Y,
199,41,657045,1995-12-04,MH,250/500,83000,74353.89,0,452597,FEMALE,Associate,sales,paintball,husband,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,GJ,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,2498300,249830,0,2248470,Chevrolet,Malibu,1999,N,
215,37,761189,2002-12-28,KA,100/300,41500,135533.19,0,614417,FEMALE,College,transport-moving,golf,not-in-family,0,-3560700,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,TN,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,4740960,790160,395080,3555720,Mercedes,C300,2002,N,
192,40,175177,2004-04-15,TS,100/300,83000,116697.17,0,472895,FEMALE,Associate,sales,yachting,wife,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,UP,Springfield,4755 Best Lane,18,3,YES,1,0,YES,3563190,791820,395910,2375460,BMW,X6,2005,N,
120,35,116700,2001-02-02,MH,100/300,83000,118319.81999999999,0,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,6498900,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,TN,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,4250430,944540,472270,2833620,Ford,Fusion,2010,N,
270,45,166264,2010-01-12,MH,500/1000,83000,86161.46999999999,0,476978,FEMALE,College,handlers-cleaners,golf,husband,0,-1635100,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,DL,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,7420200,1236700,618350,5565150,Suburu,Legacy,1998,N,
319,47,527945,1992-04-14,KA,250/500,41500,108490.12999999999,0,600648,MALE,College,transport-moving,dancing,not-in-family,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WB,Northbrook,2804 Best St,22,3,NO,0,2,?,4957590,901380,901380,3154830,Audi,A3,2005,N,
194,39,627540,2010-05-21,MH,500/1000,83000,123606.92,498000000,608335,FEMALE,JD,other-service,kayaking,wife,0,-3735000,2015-01-24,Vehicle Theft,?,Minor Damage,,TN,Springfield,7877 Sky Lane,15,1,YES,2,2,YES,668980,102920,102920,463140,Saab,95,2004,N,
227,38,279422,2013-10-27,MH,500/1000,41500,81063.61,0,471600,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,TN,Northbrook,6530 Weaver Ave,16,1,?,1,2,?,5992600,1198520,599260,4194820,BMW,M5,2013,Y,
137,31,484200,1994-10-12,MH,250/500,166000,111255.69,0,441175,MALE,High School,exec-managerial,paintball,husband,4374100,-3369800,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,GJ,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,4216400,843280,843280,2529840,Accura,MDX,2005,N,
244,40,645258,1997-07-04,MH,500/1000,166000,105228.23,415000000,603123,FEMALE,Masters,exec-managerial,video-games,wife,0,0,2015-01-03,Vehicle Theft,?,Trivial Damage,,GJ,Northbrook,7098 Lincoln Hwy,10,1,?,2,1,?,547800,54780,109560,383460,Accura,TL,2005,N,
78,29,694662,2011-02-15,TS,250/500,83000,102438.6,498000000,457767,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,2015-01-29,Vehicle Theft,?,Minor Damage,Police,DL,Northbrook,5124 Maple St,3,1,YES,2,2,NO,622500,62250,124500,435750,Nissan,Maxima,2002,N,
200,35,960680,1994-08-21,KA,250/500,166000,109398.98,0,618498,MALE,High School,exec-managerial,video-games,wife,4755900,-6689800,2015-01-19,Vehicle Theft,?,Trivial Damage,,UP,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,538670,97940,97940,342790,Volkswagen,Jetta,2002,N,
